time [s],Cold-junction [b'\xc2\xb0C'],time [s],Channel 1 [b'\xc2\xb0C'],time [s],Channel 2 [b'\xc2\xb0C'],time [s],Channel 3 [b'\xc2\xb0C'],time [s],Channel 4 [b'\xc2\xb0C'],time [s],Channel 5 [b'\xc2\xb0C'],time [s],Channel 6 [b'\xc2\xb0C'],time [s],Channel 7 [b'\xc2\xb0C'],time [s],Channel 8 [b'\xc2\xb0C'],
0.00,0024.18,0.07,0023.50,0.14,0023.46,0.20,0023.56,0.27,0023.53,0.34,0023.43,0.41,0023.59,0.48,0023.05,0.54,0023.65,
2.00,0024.18,2.07,0023.51,2.14,0023.51,2.20,0023.59,2.27,0023.57,2.34,0023.47,2.41,0023.54,2.48,0023.01,2.54,0023.61,
4.00,0024.18,4.07,0023.62,4.14,0023.62,4.20,0023.68,4.27,0023.74,4.34,0023.66,4.41,0023.80,4.48,0023.29,4.54,0023.82,
6.00,0024.18,6.07,0023.53,6.14,0023.48,6.20,0023.55,6.27,0023.56,6.34,0023.50,6.41,0023.64,6.48,0023.17,6.54,0023.74,
8.00,0024.18,8.07,0023.54,8.14,0023.56,8.20,0023.62,8.27,0023.64,8.34,0023.50,8.41,0023.66,8.48,0023.11,8.54,0023.71,
10.00,0024.18,10.07,0023.54,10.14,0023.47,10.20,0023.53,10.27,0023.54,10.34,0023.39,10.41,0023.58,10.48,0023.08,10.54,0023.65,
